목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
3059516,교육부,교육부 국립특수교육원,교육부 국립특수교육원 특수교육 연구 정보,"특수교육 관련 학술 연구 논문 자료이며 발간년도, 제호,제목,연구자를 포함합니다. 매년 자료를 갱신하며 업무체계분류는 유아및초중등교육 입니다.",2444,교육 - 유아및초·중등교육,"학술 논문,연구보고서,학술연구"
15047505,교육부,교육부 국립특수교육원,교육부 국립특수교육원_거점학교 지정 운영 현황,"장애학생 통합형 직업교육 거점학교 지정 운영 현황(연도별 거점학교 지정운영 현황)으로써 지정년도, 학교명, 교육청, 설립별, 지정유형을 포함하고 있습니다.<br/>자료는 매년 갱신됩니다.",3153,교육 - 유아및초·중등교육,"직업교육,거점학교,진로직업"
15052681,교육부,교육부 국립특수교육원,교육부 국립특수교육원_특수교육지원센터현황,"특수교육 지원센터의 현황으로 시도, 교육청, 센터명, 우편번호, 주소, 전화번호, 팩스번호, 설치된 기관, 홈페이지 주소를 포함",4693,교육 - 유아및초·중등교육,"국립특수교육원,지원센터,학교"
15052682,교육부,교육부 국립특수교육원,교육부 국립특수교육원_특수학교현황,"특수교육 기관의 현황으로 시도, 설립별, 장애영역, 교장명, 인가년월일, 개교년월일, 교장실 전화번호, 행정실 전화번호, 교무실 전화번호, 팩스, 우편번호, 주소, 홈페이지 주소를 포함",4591,교육 - 유아및초·중등교육,"국립특수교육원,특수학교,학교"
15047506,교육부,교육부 국립특수교육원,교육부 국립특수교육원_특수학교 학교기업 운영 현황,"특수학교 기업 현황으로 학교명, 개관연도, 장애유형, 사업직종,소속교육청,지정유형 등을 포함합니다. 매년 자료를 갱신합니다.",2974,교육 - 유아및초·중등교육,"학교기업,특수학교,진로직업"
15077326,교육청,경기도교육청,경기도교육청_다문화학생현황_학제별_행정구역별_국가별,"행정구역별 초등학교,중학교,고등학교 다문화학생 현황(국제결혼가정의 국내 출생 자녀, 국제결혼 가정의 중도입국 자녀, 외국인가정 자녀)",1889,교육 - 유아및초·중등교육,"다문화,외국학생,국제결혼가정 학생"
15077328,교육청,경기도교육청,경기도교육청_국가별 유학생 현황,"경기도 초등학교,중학교,고등학교 학생의 유학 현황으로 세부적으로 유학유형별(유학, 파견동행, 해외이주) 및 국가별 유학현황 데이터를 제공합니다.",1222,교육 - 유아및초·중등교육,"경기도 유학생,유학생,경기도 유학"
15077330,교육청,경기도교육청,경기도교육청_학제별_학급_학생수_교원수_직원수_교실수_교지면적,"경기도 학제별 학교수, 학급수 ,학생수, 교원수(기간제교원수 포함), 직원수,  학생변동상황, 교지면적, 교실 수 등  현황입니다.",2181,교육 - 유아및초·중등교육,"학생수,경기도 학급수,경기도 교원수"
15077331,교육청,경기도교육청,경기도교육청_행정구역별_학제별_학급_학생_교원,"경기도 행정구역별, 학교급별  학생수, 학급수, 교원수, 직원수, 고등학교 진학 관련 자료 및 교실수, 교지면적 등 학교별 주요 현황입니다.",2386,교육 - 유아및초·중등교육,"경기도 학생,학생수,학교수"
3039887,교육청,경기도교육청,경기도교육청_학교급식 위생안전_위생안전관리,"학교급식 위생안전에 대한 데이터로 연 2회 실시하는 학교급식 위생안전점검 결과, 위생관리지침 등의 항목을 제공합니다.",2552,교육 - 유아및초·중등교육,"위생안전관리,학교급식,학교급식보건과"
