목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15104539,교육청,부산광역시교육청 부산광역시립서동도서관,부산광역시교육청 부산광역시립서동도서관_상반기 평생학습프로그램,"부산광역시립서동도서관 하반기 평생학습강좌를 안내하는 데이터입니다. 성인강좌 3개, 유아 강좌 1개, 초등 강좌 3개로 운영됩니다.",280,교육 - 평생·직업교육,"공공도서관,평생학습,도서관강좌"
15095713,교육청,부산광역시교육청 부산광역시립시민도서관,부산광역시교육청 부산광역시립시민도서관_평생학습강좌,"부산광역시립시민도서관 평생학습강좌에 대한 데이터로 평생학습강좌에 대한 프로그램명, 대상, 운영기간  등의 항목을 제공합니다",519,교육 - 평생·직업교육,"프로그램명,대상,운영기간"
15084209,교육청,부산광역시교육청 부산광역시립연산도서관,부산광역시교육청 부산광역시립연산도서관_평생학습강좌,"부산광역시립연산도서관 평생학습강좌에 대한 데이터로 평생학습강좌에 대한 강좌, 강사명,교육시작일, 교육종료일,강좌내용, 강좌 정원수 등의 항목을 제공합니다.",1183,교육 - 평생·직업교육,"평생교육,강사료,수강료"
15089461,교육청,부산광역시교육청 부산광역시립중앙도서관,부산광역시교육청 부산광역시립중앙도서관_평생학습강좌,"부산광역시립중앙도서관 평생학습과에서 제공하는 평생학습강좌 소개(프로그램명, 접수기간, 대상, 운영기간 등)",982,교육 - 평생·직업교육,"평생,강좌,도서관"
15126482,교육청,서울특별시교육청,서울특별시교육청_평생학습포털 에버러닝 강좌정보 서비스,"①강좌명, 기관명, 대상구분, 모집기간, 강의기간 등을 기준으로 ② 조건에 맞는 평생학습 강좌 정보(강좌명, 기관명, 대상, 모집기간, 강의기간 등)를 조회하는 ③서울특별시교육청 평생학습포털 에버러닝 강좌 정보 조회 서비스",2383,교육 - 평생·직업교육,"서울,평생학습,에버러닝"
3044370,교육청,서울특별시교육청,서울특별시교육청_학원 및 교습소 등록(신고) 교습비등_현황,「학원의 설립·운영 및 과외교습에 관한 법률」 제15조의5(정보의 공개)에 따른 학원 등록 및 교습소 신고 교습비등 현황 공개,14655,교육 - 평생·직업교육,"수강료,이용료,교습료"
15001051,교육청,서울특별시교육청,서울특별시교육청 공공도서관 소장도서정보,"서울특별시교육청 공공도서관 및 평생학습관의 소장도서 정보(표제, 저자, 발행자, 발행년, 청구기호, 소장위치, ISBN 등)를 제공하는 서비스",8987,교육 - 평생·직업교육,"서울시교육청,공공도서관,소장 도서"
3070125,교육청,서울특별시교육청,서울특별시교육청_평생학습강좌정보,서울시교육청 평생학습포털(에버러닝) 강좌 정보,3767,교육 - 평생·직업교육,서울@평생학습@에버러닝
15073747,교육청,서울특별시교육청 서울특별시강남서초교육지원청,서울특별시교육청 서울특별시강남서초교육지원청_관내평생교육시설현황,서울특별시강남서초교육지원청 관내의 평생교육시설의 현황 자료입니다. 시설 구분과 명칭 및 전화번호가 등재되어 있습니다.,836,교육 - 평생·직업교육,"평생교육시설,전화번호,강남서초"
15102695,교육청,서울특별시교육청 서울특별시남부교육지원청,서울특별시교육청 서울특별시남부교육지원청_평생교육시설,"위 자료는 2022년 7월 25일 기준 평생교육시설 현황 데이터입니다. <br/>(평생교육시설 명칭, 주소, 구분등의 항목을 제공합니다.)",482,교육 - 평생·직업교육,"교육,원격,사업장부설"
15108873,교육청,서울특별시교육청 서울특별시동작관악교육지원청,서울특별시교육청 서울특별시동작관악교육지원청_평생교육시설정보,"동작관악교육지원청 평생교육건강과 평생교육시설 현황(원격교육형태, 언론기관부설, 시민사회단체부설, 지식인력개발사업관련)",232,교육 - 평생·직업교육,"평생교육시설,평생교육원,평생교육"
15053601,교육청,서울특별시교육청 서울특별시동작관악교육지원청,"서울특별시교육청 서울특별시동작관악교육지원청_관내 평생교육시설, 학원, 교습소 현황","서울특별시동작관악교육지원청 관내(동작구, 관악구) 평생교육시설현황입니다.(학원명, 주소, 전화번호 등)",3315,교육 - 평생·직업교육,"동작관악,학원,평생교육"
15108314,교육청,세종특별자치시교육청,세종특별자치시교육청_평생교육학습관_평생학습강좌_하반기평생교육프로그램,"세종특별자치시교육청, 세종특별자치시교육청평생교육학습관, 평생학습강좌, 하반기평생교육프로그램에 관한 데이터로 강좌명, 강사명, 교육시작일자, 교육종료일자, 강좌내용, 교육대상구성, 교육방법구성, 강좌정원수, 수강료 등의 정보를 제공합니다.",479,교육 - 평생·직업교육,"평생교육,평생학습강좌,교육프로그램"
